clock,value
6,3800
7,3800
8,3806
9,3806
10,3806
11,3800
12,3806
13,3806
14,3800
15,3800
16,3800
17,3800
18,3806
19,3806
20,3764
21,3806
22,3800
23,3758
24,3764
25,3800
26,3806
27,3800
28,3764
29,3800
30,3806
31,3800
32,3764
33,3758
34,3764
35,3764
36,3758
37,3806
38,3806
39,3764
40,3806
41,3806
42,3800
43,3806
44,3800
45,3806
46,3800
47,3800
48,3800
49,3800
50,3806
51,3800
52,3800
53,3800
54,3806
55,3764
56,3806
57,3806
58,3800
59,3764
60,3800
61,3800
62,3800
63,3806
64,3806
65,3806
66,3764
67,3800
68,3806
69,3806
70,3800
71,3800
72,3800
73,3806
74,3800
75,3800
76,3806
77,3800
78,3792
79,3806
80,3764
81,3800
82,3764
83,3806
84,3806
85,3764
86,3764
87,3764
88,3764
89,3758
90,3758
91,3800
92,3764
93,3806
94,3800
95,3806
96,3764
97,3764
98,3758
99,3800
100,3764
101,3758
102,3800
103,3800
104,3758
105,3764
106,3764
107,3764
108,3758
109,3758
110,3800
111,3758
112,3800
113,3792
114,3806
115,3800
116,3806
117,3800
118,3800
119,3800
120,3800
121,3764
122,3792
123,3806
124,3800
125,3800
126,3758
127,3764
128,3764
129,3792
130,3806
131,3758
132,3764
133,3764
134,3764
135,3758
136,3764
137,3764
138,3758
139,3758
140,3772
141,3764
142,3772
143,3758
144,3800
145,3800
146,3764
147,3764
148,3764
149,3764
150,3800
151,3764
152,3764
153,3800
154,3758
155,3806
156,3764
157,3800
158,3764
159,3764
160,3806
161,3806
162,3792
163,3800
164,3800
165,3806
166,3806
167,3806
168,3800
169,3806
170,3806
171,3806
172,3800
173,3764
174,3806
175,3758
176,3806
177,3806
178,3758
179,3800
180,3764
181,3800
182,3800
183,3800
184,3764
185,3800
186,3792
187,3764
188,3772
189,3800
190,3806
191,3758
192,3800
193,3758
194,3800
195,3800
196,3800
197,3800
198,3800
199,3806
200,3772
201,3800
202,3758
203,3764
204,3764
205,3764
206,3806
207,3800
208,3800
209,3806
210,3806
211,3758
212,3764
213,3806
214,3806
215,3764
216,3764
217,3806
218,3800
219,3800
220,3800
221,3792
222,3800
223,3800
224,3800
225,3800
226,3800
227,3800
228,3792
229,3764
230,3806
231,3758
232,3806
233,3800
234,3800
235,3806
236,3806
237,3806
238,3806
239,3800
240,3806
241,3806
242,3800
243,3800
244,3800
245,3806
246,3792
247,3800
248,3806
249,3800
250,3800
251,3764
252,3806
253,3806
254,3806
255,3800
256,3800
257,3758
258,3764
259,3806
260,3806
261,3800
262,3764
263,3800
264,3792
265,3800
266,3764
267,3800
268,3806
269,3806
270,3806
271,3806
272,3806
273,3800
274,3800
275,3806
276,3806
277,3806
278,3758
279,3800
280,3764
281,3764
282,3800
283,3800
284,3764
285,3806
286,3806
287,3806
288,3764
289,3764
290,3800
291,3800
292,3764
293,3764
294,3764
295,3758
296,3758
297,3772
298,3764
299,3764
300,3806
301,3764
302,3806
303,3806
304,3764
305,3800
306,3792
307,3800
308,3764
309,3800
310,3800
311,3792
312,3800
313,3806
314,3806
315,3806
316,3806
317,3800
318,3806
319,3806
320,3800
321,3800
322,3800
323,3800
324,3806
325,3800
326,3764
327,3800
328,3806
329,3800
330,3806
331,3800
332,3806
333,3800
334,3792
335,3800
336,3764
