clock	value
5	14594
6	14728
7	14728
8	14684
9	14678
10	14770
11	14728
12	14642
13	14860
14	14684
15	14600
16	14762
17	14594
18	14728
19	14826
20	14770
21	14600
22	14678
23	14594
24	14720
25	14678
26	14594
27	14594
28	14594
29	14818
30	14762
31	14728
32	14728
33	14642
34	14600
35	14692
36	14684
37	14860
38	14728
39	14642
40	14734
41	14600
42	14776
43	14684
44	14684
45	14594
46	14728
47	14678
48	14684
49	14684
50	14692
51	14692
52	14678
53	14776
54	14642
55	14812
56	14734
57	14684
58	14684
59	14684
60	14678
61	14636
62	14684
63	14684
64	14586
65	14728
66	14684
67	14636
68	14678
69	14692
70	14762
71	14994
72	14812
73	14994
74	14728
75	14854
76	14692
77	14734
78	14692
79	14728
80	14684
81	14812
82	14762
83	14642
84	14728
85	14902
86	14776
87	14728
88	14770
89	14636
90	14854
91	14728
92	14770
93	14762
94	14636
95	14728
96	14728
97	14770
98	14684
99	14636
100	14684
101	14684
102	14860
103	14896
104	14720
105	14678
106	14728
107	14600
108	14720
109	14994
110	14720
111	14636
112	14636
113	14684
114	14728
115	14720
116	14776
117	14684
118	14728
119	14594
120	14684
121	14818
122	14720
123	14684
124	14818
125	14770
126	14770
127	14684
128	14678
129	14734
130	14636
131	14734
132	14586
133	14776
134	14728
135	14642
136	14678
137	14860
138	14586
139	14728
140	14728
141	14818
142	14818
143	14678
144	14776
145	14728
146	14776
147	14642
148	14818
149	14994
150	14818
151	14770
152	14594
153	14776
154	14642
155	14684
156	14728
157	14636
158	14642
159	14678
160	14728
161	14776
162	14720
163	14642
164	14636
165	14728
166	14728
167	14642
168	14552
169	14818
170	14678
171	14642
172	14684
173	14642
174	14818
175	14650
176	14678
177	14812
178	14678
179	14776
180	14600
181	14600
182	14636
183	14636
184	14642
185	14642
186	14868
187	14594
188	14650
189	14692
190	14650
191	14558
192	14776
193	14650
194	14776
195	14818
196	14636
197	14678
198	14812
199	14860
200	14692
201	14860
202	14720
203	14600
204	14728
205	14902
206	14544
207	14636
208	14636
209	14636
210	14600
211	14812
212	14818
213	14692
214	14642
215	14636
216	14650
217	14860
218	14734
219	14642
220	14678
221	14728
222	14728
223	14642
224	14636
225	14594
226	14762
227	14692
228	14728
229	14636
230	14728
231	14762
232	14846
233	14728
234	14678
235	14636
236	14586
237	14636
238	14728
239	14600
240	15000
241	15000
242	14684
243	14692
244	15050
245	14818
246	14776
247	14642
248	14684
249	14692
250	14994
251	14594
252	14818
253	14558
254	14910
255	14684
256	14636
257	14684
258	14684
259	14818
260	14692
261	14854
262	14860
263	14678
264	14586
265	14860
266	14636
267	14678
268	14692
269	14678
270	14860
271	14636
272	14684
273	14558
274	14642
275	14776
276	14678
277	14818
278	14558
279	14692
280	14692
281	14728
282	14734
283	14636
284	14720
285	14728
286	14692
287	14770
288	14728
289	14818
290	14734
291	14684
292	14728
293	14684
294	14684
295	14642
296	14642
297	14600
298	14728
299	14684
300	14642
301	14642
302	14728
303	14636
304	14812
305	14734
