date	accel	sonar
0	1791	
0	1791	8524
1	1823	
1	1823	8496
2	1829	
3	1818	
4	1767	
4	1767	8538
5	1724	
6	1724	
7	1744	
8	1760	
8	1760	8538
9	1757	
10	1749	
11	1750	
12	1760	
12	1760	8538
13	1789	
14	1782	
15	1763	
16	1742	
16	1742	8544
17	1736	
18	1721	
19	1727	
19	1727	8538
20	1772	
21	1799	
22	1831	
23	1828	
23	1828	8496
24	1806	
25	1797	
26	1779	
27	1781	
27	1781	8538
28	1773	
29	1754	
30	1753	
31	1764	
31	1764	8488
32	1810	
33	1841	
34	1861	
34	1861	8530
35	1807	
36	1775	
37	1749	
38	1739	
38	1739	8488
39	1740	
40	1768	
41	1815	
42	1835	
42	1835	8488
43	1840	
44	1810	
45	1795	
45	1795	8524
46	1764	
47	1714	
48	1709	
49	1743	
49	1743	8524
50	1773	
51	1817	
52	1830	
53	1827	
53	1827	8524
54	1811	
55	1800	
56	1814	
57	1820	
57	1820	8510
58	1816	
59	1798	
60	1795	
60	1795	8474
61	1811	
62	1807	
63	1790	
64	1793	
64	1793	8474
65	1813	
66	1863	
67	1863	
68	1839	
68	1839	8510
69	1826	
70	1814	
71	1826	
72	1827	
72	1827	8552
73	1842	
74	1861	
75	1867	
75	1867	8496
76	1851	
77	1845	
78	1821	
79	1795	
79	1795	8460
80	1775	
81	1765	
82	1796	
83	1864	
83	1864	8460
84	1886	
85	1896	
86	1874	
86	1874	8460
87	1864	
88	1838	
89	1820	
90	1833	
90	1833	8454
91	1892	
92	1902	
93	1897	
94	1858	
94	1858	8502
95	1838	
96	1774	
97	1736	
98	1774	
98	1774	8460
99	1816	
100	1859	
101	1832	
101	1832	8502
102	1810	
103	1788	
104	1776	
105	1762	
105	1762	8468
106	1763	
107	1765	
108	1779	
109	1794	
109	1794	8474
110	1795	
111	1798	
112	1805	
113	1805	
113	1805	8460
114	1787	
115	1757	
116	1748	
116	1748	8468
117	1748	
118	1775	
119	1779	
120	1787	
120	1787	8468
121	1812	
122	1835	
123	1863	
124	1853	
124	1853	8510
125	1836	
126	1822	
127	1795	
127	1795	8468
128	1784	
129	1795	
130	1826	
131	1850	
131	1850	8510
132	1887	
133	1890	
134	1885	
135	1875	
135	1875	8468
136	1844	
137	1831	
138	1795	
139	1770	
139	1770	8474
140	1788	
141	1802	
142	1803	
142	1803	8524
143	1776	
144	1770	
145	1771	
146	1769	
146	1769	8530
147	1760	
148	1746	
149	1740	
150	1744	
150	1744	8538
151	1760	
152	1764	
153	1774	
154	1767	
154	1767	8496
155	1763	
156	1761	
157	1762	
157	1762	8502
158	1770	
159	1787	
160	1784	
161	1776	
161	1776	8502
162	1745	
163	1740	
164	1740	
165	1769	
165	1769	8552
166	1781	
167	1780	
168	1769	
169	1742	
169	1742	8510
170	1743	
171	1748	
172	1752	
172	1752	8552
173	1763	
174	1791	
175	1788	
176	1778	
176	1778	8524
177	1770	
178	1762	
179	1774	
180	1760	
180	1760	8552
181	1747	
182	1752	
183	1785	
183	1785	8530
184	1795	
185	1785	
186	1750	
187	1750	
187	1750	8516
188	1759	
189	1763	
190	1755	
191	1748	
191	1748	8572
192	1765	
193	1803	
194	1807	
195	1767	
195	1767	8530
196	1738	
197	1733	
198	1732	
198	1732	8530
199	1742	
200	1749	
201	1797	
202	1833	
202	1833	8530
203	1823	
204	1775	
205	1727	
206	1712	
206	1712	8524
207	1709	
208	1743	
209	1756	
210	1775	
210	1775	8530
211	1778	
212	1788	
213	1783	
213	1783	8530
214	1764	
215	1758	
216	1742	
217	1746	
217	1746	8530
218	1764	
219	1795	
220	1802	
221	1793	
221	1793	8538
222	1772	
223	1753	
224	1740	
225	1741	
225	1741	8530
226	1772	
227	1785	
228	1791	
228	1791	8538
229	1785	
230	1777	
231	1764	
232	1755	
232	1755	8580
233	1744	
234	1757	
235	1800	
236	1813	
236	1813	8580
237	1819	
238	1819	
239	1794	
240	1757	
240	1757	8572
241	1754	
242	1760	
243	1784	
243	1784	8530
244	1771	
245	1772	
246	1778	
247	1768	
247	1768	8524
248	1769	
249	1772	
250	1768	
251	1776	
251	1776	8524
252	1793	
253	1813	
254	1815	
255	1826	
255	1826	8566
256	1840	
257	1836	
258	1805	
258	1805	8516
259	1786	
260	1791	
261	1803	
262	1807	
262	1807	8524
263	1803	
264	1794	
265	1793	
266	1794	
266	1794	8524
267	1767	
268	1766	
269	1791	
270	1843	
270	1843	8558
271	1882	
272	1868	
273	1819	
273	1819	8566
274	1770	
275	1751	
276	1748	
277	1803	
277	1803	8558
278	1826	
279	1843	
280	1838	
281	1843	
281	1843	8558
282	1826	
283	1806	
284	1796	
284	1796	8558
285	1793	
286	1786	
287	1790	
288	1829	
288	1829	8558
289	1851	
290	1849	
291	1825	
292	1818	
292	1818	8552
293	1810	
294	1825	
295	1832	
296	1835	
296	1835	8558
297	1842	
298	1836	
299	1830	
299	1830	8566
300	1843	
301	1832	
302	1820	
303	1772	
303	1772	8524
304	1765	
305	1778	
306	1814	
307	1834	
307	1834	8566
308	1864	
309	1851	
310	1840	
311	1826	
311	1826	8524
312	1803	
313	1803	
314	1810	
314	1810	8530
315	1814	
316	1813	
317	1813	
318	1828	
318	1828	8524
319	1839	
320	1824	
321	1820	
322	1823	
322	1823	8530
323	1848	
324	1849	
325	1841	
325	1841	8530
326	1838	
327	1849	
328	1853	
329	1854	
329	1854	8530
330	1877	
331	1888	
332	1878	
333	1840	
333	1840	8558
334	1833	
335	1812	
336	1774	
337	1761	
337	1761	8530
338	1767	
339	1791	
340	1814	
340	1814	8530
341	1830	
342	1868	
343	1882	
344	1877	
344	1877	8572
345	1840	
346	1826	
347	1813	
348	1796	
348	1796	8572
349	1784	
350	1778	
351	1775	
352	1780	
352	1780	8572
353	1815	
354	1829	
355	1824	
355	1824	8572
356	1817	
357	1805	
358	1815	
359	1822	
359	1822	8572
360	1823	
361	1824	
362	1836	
363	1842	
363	1842	8586
364	1842	
