date	accel	sonar
0	119	
0	119	732
1	118	
1	118	732
2	112	
3	111	
4	111	
5	113	
5	113	737
6	112	
7	119	
8	120	
9	124	
9	124	736
10	127	
11	123	
12	119	
12	119	737
13	120	
14	120	
15	117	
16	114	
16	114	736
17	111	
18	106	
19	112	
20	110	
20	110	733
21	112	
22	112	
23	111	
24	116	
24	116	732
25	108	
26	110	
27	114	
27	114	732
28	114	
29	114	
30	116	
31	123	
31	123	732
32	119	
33	123	
34	121	
35	123	
35	123	736
36	120	
37	121	
38	121	
39	119	
39	119	732
40	112	
41	112	
42	117	
42	117	732
43	112	
44	111	
45	112	
46	112	
46	112	732
47	118	
48	110	
49	114	
50	114	
50	114	732
51	114	
52	112	
53	113	
53	113	736
54	113	
55	115	
56	119	
57	113	
57	113	732
58	107	
59	108	
60	111	
61	118	
61	118	733
62	117	
63	118	
64	113	
65	115	
65	115	732
66	116	
67	109	
68	103	
68	103	733
69	100	
70	113	
71	111	
72	112	
72	112	737
73	110	
74	115	
75	117	
76	109	
76	109	737
77	110	
78	109	
79	113	
80	114	
80	114	737
81	114	
82	113	
83	109	
83	109	737
84	107	
85	106	
86	112	
87	115	
87	115	736
88	116	
89	116	
90	112	
91	117	
91	117	735
92	116	
93	119	
94	112	
95	114	
95	114	737
96	117	
97	115	
98	118	
98	118	737
99	110	
100	112	
101	113	
102	114	
102	114	737
103	117	
104	112	
105	113	
106	107	
106	107	737
107	109	
108	110	
109	110	
110	110	
110	110	737
111	111	
112	110	
113	110	
113	110	737
114	115	
115	117	
116	120	
117	112	
117	112	737
118	108	
119	116	
120	111	
121	107	
121	107	737
122	108	
123	114	
124	107	
125	109	
125	109	737
126	110	
127	108	
128	112	
128	112	741
129	116	
130	113	
131	110	
132	110	
132	110	737
133	115	
134	115	
135	116	
136	115	
136	115	737
137	113	
138	115	
139	111	
140	111	
140	111	737
141	109	
142	115	
143	116	
143	116	741
144	118	
145	114	
146	115	
147	121	
147	121	737
148	115	
149	116	
150	112	
151	115	
151	115	737
152	118	
153	117	
154	113	
155	109	
155	109	741
156	112	
157	111	
158	114	
158	114	741
159	111	
160	116	
161	115	
162	111	
162	111	741
163	115	
164	111	
165	116	
166	121	
166	121	758
167	122	
168	115	
169	116	
170	114	
170	114	741
171	117	
172	120	
173	118	
173	118	737
174	112	
175	108	
176	110	
177	108	
177	108	757
178	109	
179	112	
180	111	
181	115	
181	115	740
182	113	
183	112	
184	113	
185	110	
185	110	741
186	114	
187	104	
188	107	
188	107	738
189	115	
190	113	
191	115	
192	114	
192	114	741
193	117	
194	117	
195	121	
196	118	
196	118	758
197	112	
198	118	
199	115	
200	116	
200	116	758
201	115	
202	114	
203	110	
203	110	758
204	107	
205	109	
206	110	
207	111	
207	111	758
208	109	
209	116	
210	111	
211	107	
211	107	741
212	117	
213	116	
214	108	
215	110	
215	110	737
216	115	
217	114	
218	115	
218	115	741
219	120	
220	118	
221	115	
222	108	
222	108	741
223	109	
224	107	
225	109	
