date	accel	sonar
0	384	
0	384	9836
1	400	
1	400	9828
2	417	
3	418	
4	386	
5	378	
5	378	9962
6	386	
7	418	
8	422	
8	422	9920
9	418	
10	411	
11	372	
12	364	
12	364	9660
13	378	
14	440	
15	463	
16	430	
16	430	9576
17	350	
18	327	
19	331	
20	383	
20	383	9836
21	407	
22	393	
23	373	
23	373	9752
24	376	
25	411	
26	404	
27	391	
27	391	9696
28	366	
29	370	
30	379	
31	390	
31	390	9660
32	376	
33	381	
34	399	
35	418	
35	418	9660
36	416	
37	380	
38	360	
39	398	
39	398	9640
40	521	
41	586	
42	573	
43	485	
43	485	9780
44	405	
45	400	
46	451	
46	451	9900
47	486	
48	482	
49	431	
50	392	
50	392	9856
51	382	
52	400	
53	436	
54	510	
54	510	9682
55	528	
56	477	
57	426	
58	423	
58	423	9766
59	411	
60	402	
61	401	
62	458	
62	458	9640
63	500	
64	571	
65	574	
65	574	9772
66	540	
67	461	
68	462	
69	481	
69	481	9780
70	537	
71	590	
72	598	
73	574	
73	574	9738
74	491	
75	444	
76	381	
77	411	
77	411	9780
78	457	
79	525	
80	516	
80	516	9730
81	408	
82	285	
83	256	
84	282	
84	282	9772
85	318	
86	297	
87	261	
88	179	
88	179	9626
89	177	
90	209	
91	284	
92	332	
92	332	9660
93	326	
94	282	
95	255	
96	220	
96	220	9724
97	220	
98	250	
99	286	
99	286	9836
100	351	
101	353	
102	342	
103	326	
103	326	9808
104	382	
105	436	
106	537	
107	580	
107	580	9766
108	645	
109	671	
110	690	
111	724	
111	724	9738
112	702	
113	645	
114	601	
115	482	
115	482	9618
116	369	
117	317	
118	266	
118	266	9484
119	331	
120	380	
121	500	
122	556	
122	556	9428
123	682	
124	833	
125	894	
126	963	
126	963	9380
127	946	
128	909	
129	898	
130	869	
130	869	9428
131	823	
132	798	
133	743	
134	730	
134	730	9372
135	723	
136	688	
137	664	
137	664	9436
138	613	
139	617	
140	639	
141	647	
141	647	9386
142	619	
143	571	
144	567	
145	593	
145	593	9386
146	646	
147	662	
148	662	
149	632	
149	632	9478
150	565	
151	506	
152	484	
153	482	
153	482	9442
154	493	
155	507	
156	511	
157	525	
157	525	9394
158	551	
159	570	
160	585	
160	585	9400
161	583	
162	584	
163	590	
164	599	
164	599	9428
165	623	
166	660	
167	678	
168	682	
168	682	9464
169	653	
170	635	
171	636	
172	661	
172	661	9464
173	686	
174	681	
175	657	
176	648	
176	648	9428
177	614	
178	579	
179	557	
180	556	
180	556	9428
181	647	
182	690	
183	724	
183	724	9464
184	655	
185	551	
186	528	
187	548	
187	548	9464
188	588	
189	678	
190	705	
191	686	
191	686	9436
192	610	
193	552	
194	542	
195	578	
195	578	9484
196	655	
197	681	
198	667	
199	578	
199	578	9442
200	513	
201	519	
202	613	
203	672	
203	672	9478
204	735	
205	721	
206	686	
207	593	
207	593	9442
208	544	
209	543	
210	577	
210	577	9484
211	614	
212	615	
213	597	
214	592	
214	592	9492
215	602	
216	662	
217	708	
218	716	
218	716	9450
219	675	
220	615	
221	599	
222	604	
222	604	9456
223	619	
224	618	
225	582	
226	564	
226	564	9456
227	564	
228	575	
229	609	
229	609	9456
230	616	
231	627	
232	632	
233	636	
233	636	9500
234	645	
235	654	
236	657	
237	663	
237	663	9422
238	662	
239	670	
240	687	
241	682	
241	682	9422
242	663	
243	615	
244	563	
245	553	
245	553	9386
246	566	
247	598	
248	626	
249	664	
249	664	9422
250	670	
251	654	
252	623	
252	623	9386
253	599	
254	603	
255	630	
256	638	
256	638	9422
257	613	
258	534	
259	437	
260	414	
260	414	9500
261	427	
262	459	
263	460	
264	400	
264	400	9464
265	313	
266	282	
267	269	
268	281	
268	281	9380
269	322	
270	336	
271	328	
272	275	
272	275	9456
273	194	
274	169	
275	174	
275	174	9386
276	195	
277	236	
278	244	
279	258	
279	258	9226
280	280	
281	312	
282	378	
283	388	
283	388	9198
284	361	
285	272	
286	157	
287	101	
287	101	9070
288	28	
289	-6	
290	8	
291	69	
291	69	9022
292	126	
293	168	
294	242	
294	242	8840
295	279	
296	385	
297	592	
298	691	
298	691	8826
299	804	
300	776	
301	665	
302	612	
302	612	8762
303	593	
304	649	
305	694	
306	739	
306	739	8692
307	678	
308	622	
309	565	
309	565	8650
310	560	
311	597	
312	631	
313	629	
313	629	8594
314	584	
315	485	
316	406	
317	379	
317	379	8608
318	373	
319	387	
320	389	
321	373	
321	373	8622
322	342	
323	249	
324	154	
324	154	8622
325	122	
326	130	
327	180	
328	199	
328	199	8636
329	209	
330	166	
331	144	
332	150	
332	150	8636
333	183	
334	224	
335	232	
335	232	8684
336	194	
337	169	
338	141	
339	183	
339	183	8642
340	220	
341	297	
342	295	
343	268	
343	268	8692
344	198	
345	168	
346	204	
347	239	
347	239	8692
348	268	
349	274	
350	262	
350	262	8692
351	290	
352	297	
353	267	
354	227	
354	227	8692
355	212	
356	226	
357	246	
358	260	
358	260	8642
359	268	
360	273	
361	277	
362	277	
362	277	8650
363	283	
364	282	
365	266	
365	266	8678
366	269	
367	271	
368	286	
369	303	
369	303	8684
370	311	
371	330	
372	331	
373	308	
373	308	8684
374	296	
375	292	
376	301	
376	301	8642
377	281	
378	227	
379	201	
380	191	
380	191	8692
381	229	
382	250	
383	278	
384	287	
384	287	8684
385	289	
386	264	
387	244	
388	232	
388	232	8692
389	238	
390	259	
391	271	
391	271	8650
392	272	
393	232	
394	207	
395	147	
395	147	8650
396	135	
397	164	
398	251	
399	309	
399	309	8642
400	312	
401	298	
402	274	
403	287	
403	287	8678
404	342	
405	386	
406	390	
406	390	8670
407	357	
408	335	
409	346	
410	383	
410	383	8670
411	378	
412	334	
413	304	
414	258	
414	258	8670
415	282	
416	316	
417	395	
417	395	8636
418	420	
419	406	
420	319	
421	281	
421	281	8642
422	265	
423	302	
424	318	
425	327	
425	327	8670
426	282	
427	219	
428	202	
429	197	
429	197	8684
430	253	
431	284	
432	329	
432	329	8678
433	337	
434	328	
435	328	
436	332	
436	332	8728
437	347	
438	343	
439	331	
440	299	
440	299	8650
441	274	
442	304	
443	327	
444	329	
444	329	8650
445	312	
446	262	
447	234	
447	234	8650
448	222	
449	219	
450	257	
451	283	
451	283	8684
452	308	
453	230	
454	141	
455	-78	
455	-78	8642
456	-185	
457	-465	
458	-501	
458	-501	8642
459	-531	
460	-507	
461	-547	
462	-592	
462	-592	8600
463	-596	
464	-602	
465	-509	
466	-428	
466	-428	8446
467	-239	
468	-68	
469	75	
470	137	
470	137	8278
471	238	
472	273	
473	308	
473	308	8152
474	274	
475	271	
476	317	
477	413	
477	413	8054
478	476	
479	604	
480	678	
481	682	
481	682	7998
482	635	
483	544	
484	517	
485	555	
485	555	7900
486	683	
487	764	
488	834	
488	834	7856
489	766	
490	709	
491	566	
492	470	
492	470	7744
493	468	
494	514	
495	519	
496	450	
496	450	7702
497	418	
498	394	
499	398	
500	412	
500	412	7724
501	442	
502	453	
503	449	
503	449	7682
504	396	
505	355	
506	295	
507	243	
507	243	7716
508	214	
509	191	
510	199	
511	241	
511	241	7716
512	248	
513	251	
514	248	
515	266	
515	266	7674
516	287	
517	286	
518	268	
519	231	
519	231	7724
520	217	
521	205	
522	188	
522	188	7744
523	161	
524	122	
525	101	
526	95	
526	95	7660
527	117	
528	157	
529	182	
530	215	
530	215	7744
531	213	
532	205	
533	214	
534	242	
534	242	7696
535	268	
536	305	
537	302	
537	302	7688
538	262	
539	224	
540	226	
541	246	
541	246	7682
542	291	
543	327	
544	395	
545	409	
545	409	7710
546	376	
547	343	
548	302	
549	314	
549	314	7716
550	336	
551	360	
552	359	
552	359	7710
553	350	
554	332	
555	293	
556	277	
556	277	7716
557	290	
558	340	
559	364	
560	392	
560	392	7710
561	353	
562	326	
563	287	
564	288	
564	288	7668
565	324	
566	396	
567	425	
567	425	7668
568	410	
569	324	
570	255	
571	232	
571	232	7674
572	235	
573	268	
574	288	
575	321	
575	321	7660
576	354	
577	352	
578	321	
579	303	
579	303	7674
580	302	
581	331	
582	351	
583	391	
583	391	7618
584	415	
585	409	
586	384	
586	384	7618
587	296	
588	230	
589	225	
590	257	
590	257	7668
591	277	
592	301	
593	313	
594	332	
594	332	7660
595	367	
596	369	
597	366	
598	380	
598	380	7654
599	386	
600	388	
601	398	
601	398	7688
602	402	
603	405	
604	395	
605	336	
605	336	7646
606	314	
607	305	
608	344	
609	369	
609	369	7646
610	384	
611	365	
612	329	
613	306	
613	306	7646
614	250	
615	161	
616	112	
617	8	
617	8	7682
618	-110	
619	-211	
620	-410	
620	-410	7640
621	-457	
622	-528	
623	-557	
624	-567	
624	-567	7556
625	-633	
626	-738	
627	-732	
628	-667	
628	-667	7338
629	-432	
630	-167	
631	-69	
632	74	
632	74	7296
633	131	
634	174	
635	216	
635	216	7134
636	227	
637	226	
638	303	
639	345	
639	345	6972
640	423	
641	463	
642	497	
643	511	
643	511	6826
644	556	
645	679	
646	751	
646	751	6742
647	842	
648	859	
649	873	
650	820	
650	820	6636
651	785	
652	799	
653	811	
653	811	6552
654	794	
655	780	
656	806	
657	726	
657	726	6454
658	663	
659	584	
660	555	
661	485	
661	485	6418
662	383	
663	347	
664	324	
665	367	
665	367	6440
666	403	
667	466	
668	420	
668	420	6376
669	443	
670	468	
671	528	
672	547	
672	547	6348
673	575	
674	498	
675	447	
675	447	6342
676	359	
677	345	
678	374	
679	386	
679	386	6390
680	303	
681	251	
682	169	
683	137	
683	137	6384
684	165	
685	210	
686	332	
686	332	6334
687	378	
688	407	
689	422	
690	399	
690	399	6328
691	349	
692	351	
693	382	
694	487	
694	487	6362
695	569	
696	580	
697	567	
697	567	6334
698	512	
699	410	
700	353	
701	270	
701	270	6376
702	260	
703	329	
704	443	
705	485	
705	485	6342
706	471	
707	417	
708	405	
708	405	6384
709	387	
710	342	
711	326	
712	335	
712	335	6356
713	407	
714	440	
715	424	
715	424	6356
716	340	
717	308	
718	291	
719	308	
719	308	6356
720	311	
721	291	
722	274	
722	274	6356
723	282	
724	276	
725	239	
726	217	
726	217	6398
727	193	
728	223	
729	239	
730	250	
730	250	6356
731	247	
732	244	
733	241	
734	265	
734	265	6390
735	299	
736	376	
737	399	
737	399	6334
738	383	
739	321	
740	263	
741	255	
741	255	6328
742	296	
743	327	
744	321	
744	321	6320
745	300	
746	330	
747	368	
748	408	
748	408	6300
749	395	
750	371	
751	332	
752	322	
752	322	6284
753	348	
754	404	
755	451	
755	451	6278
756	456	
757	435	
758	399	
759	391	
759	391	6284
760	401	
761	417	
762	420	
763	403	
763	403	6278
764	376	
765	358	
766	318	
766	318	6320
767	292	
768	294	
769	344	
770	376	
770	376	6292
771	361	
772	333	
773	328	
773	328	6284
774	335	
775	349	
776	351	
777	352	
777	352	6320
778	346	
779	377	
780	398	
781	410	
781	410	6328
782	397	
783	361	
784	336	
784	336	6320
785	348	
786	366	
787	386	
788	390	
788	390	6320
789	398	
790	413	
791	421	
792	412	
792	412	6278
793	360	
794	341	
795	326	
795	326	6320
796	331	
797	329	
798	306	
799	271	
799	271	6328
800	185	
801	126	
802	20	
802	20	6284
803	-7	
804	-18	
805	-78	
806	-202	
806	-202	6314
807	-258	
808	-324	
809	-325	
810	-263	
810	-263	6242
811	-192	
812	-206	
813	-204	
813	-204	6158
814	-210	
815	-205	
816	-183	
817	-120	
817	-120	6102
818	-90	
819	-97	
820	-119	
821	-159	
821	-159	5970
822	-197	
823	-222	
824	-201	
