clock	New York	San Francisco	Austin
101	63.4	62.7	72.2
102	58.0	59.9	67.7
103	53.3	59.1	69.4
104	55.7	58.8	68.0
105	64.2	58.7	72.4
106	58.8	57.0	77.0
107	57.9	56.7	82.3
108	61.8	56.8	78.9
109	69.3	56.7	68.8
110	71.2	60.1	68.7
111	68.7	61.1	70.3
112	61.8	61.5	75.3
113	63.0	64.3	76.6
114	66.9	67.1	66.6
115	61.7	64.6	68.0
116	61.8	61.6	70.6
117	62.8	61.1	71.1
118	60.8	59.2	70.0
119	62.1	58.9	61.6
120	65.1	57.2	57.4
121	55.6	56.4	64.3
122	54.4	60.7	72.4
123	54.4	65.1	72.4
124	54.8	60.9	72.5
125	57.9	56.1	72.7
126	54.6	54.6	73.4
127	54.4	56.1	70.7
128	42.5	58.1	56.8
129	40.9	57.5	51.0
130	38.6	57.7	54.9
131	44.2	55.1	58.8
