clock,value
45,-343
46,-337
48,-332
49,-333
51,-331
53,-330
54,-331
56,-335
58,-335
60,-335
61,-339
63,-340
65,-336
66,-337
68,-340
69,-343
71,-340
73,-344
74,-343
76,-345
78,-341
80,-341
81,-341
83,-345
85,-340
86,-339
88,-339
90,-339
91,-341
93,-340
94,-339
96,-340
98,-335
99,-336
101,-339
103,-344
105,-339
106,-338
108,-338
110,-337
111,-339
113,-343
114,-342
116,-341
118,-344
119,-345
121,-338
123,-342
125,-347
126,-346
128,-342
130,-343
131,-341
133,-343
135,-343
136,-341
138,-341
139,-342
141,-344
143,-346
144,-348
146,-343
148,-338
150,-342
151,-345
153,-341
155,-343
156,-342
158,-340
159,-336
161,-332
163,-335
164,-336
166,-339
168,-343
169,-344
171,-344
173,-342
175,-339
176,-337
178,-334
180,-337
181,-338
183,-340
184,-340
186,-341
188,-339
189,-335
191,-334
193,-333
194,-331
196,-331
198,-337
200,-338
201,-339
203,-343
204,-346
206,-347
208,-347
209,-344
211,-341
213,-339
214,-341
216,-342
218,-345
219,-346
221,-347
223,-347
225,-344
226,-344
228,-343
229,-346
231,-341
233,-339
234,-340
236,-340
238,-338
239,-336
241,-339
243,-345
245,-342
246,-337
248,-342
249,-342
251,-337
253,-337
254,-342
256,-347
258,-348
259,-349
261,-346
263,-342
264,-338
266,-335
268,-330
270,-335
271,-338
273,-344
274,-345
276,-343
278,-342
279,-342
281,-340
283,-339
284,-339
286,-336
288,-337
289,-341
291,-344
292,-346
294,-347
296,-350
298,-345
299,-349
301,-343
303,-341
304,-338
306,-336
308,-337
309,-338
311,-337
313,-341
314,-341
316,-343
318,-342
319,-343
321,-346
323,-345
324,-349
326,-345
328,-348
329,-348
331,-347
333,-349
334,-342
336,-339
338,-345
339,-339
341,-340
343,-338
344,-341
346,-345
347,-344
349,-344
351,-341
353,-333
354,-332
359,-343
361,-340
362,-337
364,-341
366,-340
368,-337
369,-343
371,-341
373,-339
374,-339
376,-342
378,-343
379,-341
381,-339
382,-336
384,-335
386,-336
387,-337
389,-339
391,-339
393,-342
394,-341
396,-339
398,-335
399,-335
401,-343
403,-346
404,-344
406,-340
407,-336
409,-339
411,-336
412,-336
414,-336
416,-336
418,-335
419,-335
421,-338
423,-333
424,-339
426,-336
427,-334
429,-337
431,-342
432,-343
434,-343
436,-343
437,-341
439,-343
441,-342
443,-338
444,-335
446,-343
448,-346
449,-345
451,-344
452,-347
454,-343
456,-342
458,-343
459,-341
461,-342
463,-339
464,-341
466,-333
468,-334
469,-335
471,-335
472,-339
474,-342
476,-342
477,-340
479,-344
481,-347
482,-343
484,-343
486,-343
488,-337
489,-334
491,-332
493,-334
494,-334
496,-338
497,-340
499,-337
501,-339
502,-340
504,-337
506,-337
508,-337
509,-338
511,-338
513,-336
514,-336
516,-336
517,-338
519,-338
521,-335
522,-335
524,-340
526,-344
527,-343
529,-343
531,-344
532,-343
534,-339
536,-341
538,-342
539,-342
541,-341
542,-341
544,-339
546,-345
547,-345
549,-344
551,-346
552,-349
554,-351
556,-344
558,-341
559,-339
561,-340
562,-340
564,-341
566,-342
567,-343
569,-336
571,-341
572,-344
574,-341
576,-341
577,-341
579,-340
581,-342
582,-340
584,-334
586,-336
587,-338
589,-335
591,-336
592,-333
594,-338
596,-344
597,-341
599,-343
601,-342
602,-337
604,-340
606,-340
607,-342
609,-344
611,-335
612,-335
614,-334
616,-335
617,-335
619,-336
621,-335
623,-341
624,-337
626,-336
629,-335
631,-332
632,-332
634,-335
636,-339
637,-339
639,-335
641,-334
642,-339
644,-340
646,-340
648,-341
649,-342
651,-337
652,-338
654,-341
656,-336
657,-338
659,-336
661,-335
663,-339
664,-337
666,-332
668,-339
670,-336
671,-335
672,-337
674,-331
676,-329
677,-333
679,-332
681,-331
682,-333
684,-337
686,-339
687,-336
689,-339
691,-341
693,-346
694,-346
696,-340
697,-339
699,-340
701,-332
702,-329
704,-331
706,-333
707,-333
709,-334
711,-331
712,-334
714,-339
715,-338
717,-344
719,-338
720,-339
722,-337
724,-339
726,-340
727,-338
729,-341
731,-343
732,-340
734,-342
736,-344
737,-342
739,-338
740,-337
742,-344
744,-341
745,-345
747,-343
749,-338
751,-338
752,-343
754,-342
756,-348
757,-346
759,-345
760,-342
762,-343
764,-341
765,-342
767,-340
769,-341
770,-341
772,-339
774,-342
776,-342
777,-342
779,-343
781,-345
782,-345
784,-342
785,-347
787,-339
789,-336
791,-333
792,-336
794,-346
796,-342
797,-338
799,-341
801,-334
802,-332
804,-331
805,-328
807,-334
809,-336
810,-336
812,-334
814,-340
815,-342
817,-338
819,-341
821,-338
822,-339
824,-341
826,-342
827,-341
829,-345
830,-344
832,-344
834,-338
835,-337
837,-342
839,-343
840,-343
842,-345
844,-340
846,-345
847,-345
849,-338
850,-339
852,-345
854,-343
855,-338
857,-337
859,-332
861,-336
862,-336
864,-340
866,-338
867,-337
869,-335
871,-332
872,-333
874,-335
875,-336
877,-341
879,-344
881,-341
882,-340
884,-343
885,-338
887,-337
889,-333
890,-336
892,-339
894,-338
895,-337
897,-338
899,-340
900,-339
902,-339
904,-338
906,-337
907,-333
909,-335
911,-333
912,-330
914,-336
916,-336
917,-335
919,-337
920,-338
922,-338
923,-339
925,-340
927,-341
929,-344
930,-345
932,-343
934,-342
936,-345
937,-347
939,-348
940,-346
942,-341
944,-338
945,-337
947,-339
949,-341
950,-340
952,-339
954,-339
956,-340
957,-340
958,-337
961,-335
962,-337
965,-337
967,-339
969,-340
970,-340
972,-334
974,-333
975,-340
977,-340
979,-340
981,-338
982,-337
984,-340
985,-341
987,-338
989,-337
990,-335
992,-340
994,-340
995,-339
997,-334
999,-341
1001,-343
1002,-342
1004,-339
1005,-339
1007,-337
1009,-335
1010,-336
1012,-339
1014,-337
1015,-337
1017,-339
1019,-341
1020,-342
1022,-338
1024,-337
1025,-339
1027,-338
1028,-342
1030,-340
1032,-337
1034,-339
1035,-340
1037,-344
1039,-343
1040,-342
1042,-345
1044,-347
1045,-350
1047,-345
1048,-339
1050,-333
1052,-334
1054,-334
1055,-339
1057,-336
1059,-333
1060,-335
1062,-334
1064,-336
1065,-338
1067,-334
1069,-335
1070,-337
1072,-334
1073,-338
1075,-341
1077,-337
1079,-335
1080,-339
1082,-341
1084,-343
1085,-341
1087,-340
1089,-337
1090,-339
1092,-340
1093,-339
1095,-340
1097,-345
1099,-346
1100,-345
1102,-344
1104,-337
1105,-334
1107,-333
1109,-334
1110,-335
1112,-335
1114,-335
1115,-334
1117,-338
1118,-339
1120,-335
1122,-340
1123,-343
1125,-338
1127,-337
1129,-335
1130,-332
1132,-335
1134,-336
1135,-333
1137,-338
1139,-345
1140,-347
1142,-342
1143,-342
1145,-343
1147,-342
1149,-341
1150,-342
1152,-343
1154,-343
1155,-339
1157,-338
1159,-338
1160,-341
1162,-344
1163,-343
1165,-341
1167,-337
1168,-338
1170,-342
1172,-345
1174,-340
1175,-342
1177,-338
1179,-336
1180,-334
1182,-339
1184,-339
1185,-339
1187,-337
1188,-336
1190,-335
1192,-335
1193,-337
1195,-335
1197,-334
1199,-339
1200,-339
1202,-338
1204,-341
1205,-343
1207,-341
1208,-341
1210,-339
1212,-337
1213,-337
1217,-338
1219,-338
1220,-336
1222,-344
1224,-344
1225,-341
1227,-341
1229,-342
1231,-343
1232,-339
1234,-341
1235,-339
1237,-345
1239,-339
1240,-339
1242,-345
1244,-341
1245,-342
1247,-342
1249,-336
1250,-339
1252,-339
1253,-335
1256,-329
1257,-329
1259,-336
1260,-333
1262,-335
1263,-342
1265,-339
1267,-337
1269,-342
1270,-341
1273,-332
1274,-332
1276,-339
1277,-335
1278,-336
1280,-340
1282,-334
1284,-336
1285,-335
1287,-337
1289,-347
1290,-348
1292,-346
1294,-344
1295,-339
1297,-340
1298,-342
1300,-336
1302,-336
1304,-334
1305,-337
1307,-342
1309,-338
1310,-337
1312,-335
1314,-343
1315,-342
1317,-343
1319,-344
1320,-341
1322,-339
1323,-342
1325,-339
1327,-338
1329,-337
1330,-334
1332,-335
1334,-340
1335,-337
1337,-343
1339,-343
1340,-340
1342,-341
1343,-340
1345,-338
1347,-337
1348,-339
1350,-338
1352,-341
1354,-334
1355,-334
1357,-334
1359,-340
1360,-340
1362,-340
1364,-342
1365,-338
1367,-338
1368,-341
1370,-336
1372,-344
1373,-344
1375,-339
1377,-345
1379,-341
1380,-340
1382,-340
1384,-329
1385,-330
1387,-332
1388,-334
1390,-339
1392,-342
1393,-343
1395,-345
1397,-339
1398,-339
1400,-341
1402,-340
1404,-340
1405,-341
1407,-340
1409,-343
1410,-346
1412,-344
1414,-341
1415,-341
1417,-341
1419,-337
1420,-336
1422,-336
1424,-330
1425,-330
1427,-337
1429,-333
1430,-332
1432,-338
1433,-336
1435,-343
1437,-345
1438,-344
1440,-344
1442,-341
1443,-339
1445,-340
1447,-340
1449,-338
1450,-338
1452,-340
1454,-341
1455,-339
1457,-340
1458,-339
1460,-340
1462,-341
1463,-340
1465,-340
1467,-338
1468,-335
1470,-336
1472,-336
1474,-332
1475,-333
1477,-335
1478,-339
1480,-341
1482,-344
1483,-341
1485,-342
1487,-341
1488,-339
1490,-339
1492,-339
1493,-340
1495,-345
1497,-339
1499,-338
1500,-336
1502,-337
1503,-340
1505,-341
1507,-341
1508,-339
1510,-338
1512,-337
1513,-338
1515,-342
1517,-339
1518,-340
1520,-345
1521,-344
1523,-339
1525,-338
1527,-336
1528,-337
1530,-342
1532,-341
1533,-341
1535,-342
1537,-344
1538,-341
1540,-343
1542,-339
1544,-339
1545,-338
1546,-338
1548,-337
1550,-339
1555,-345
1557,-342
1558,-340
1560,-338
1562,-342
1564,-341
1565,-338
1567,-339
1569,-341
1570,-346
1572,-341
1573,-343
1575,-343
1577,-342
1578,-343
1580,-343
1582,-339
1583,-343
1584,-344
1586,-345
1589,-342
1590,-340
1592,-340
1593,-338
1595,-339
1597,-334
1598,-335
1600,-336
1602,-345
1603,-341
1605,-342
1607,-341
1608,-336
1610,-336
1612,-336
1613,-333
1615,-335
1617,-334
1618,-332
1620,-336
1622,-342
1623,-343
1625,-346
1627,-339
1628,-340
1630,-337
1631,-335
1633,-338
1635,-339
1637,-336
1638,-335
1640,-344
1642,-340
1643,-344
1645,-347
1647,-342
1648,-340
1650,-338
1652,-340
1653,-338
1655,-338
1657,-336
1658,-334
1660,-334
1662,-329
1663,-328
1665,-332
1667,-333
1668,-329
1670,-332
1672,-333
1673,-330
1675,-338
1676,-341
1678,-341
1680,-341
1681,-337
1683,-339
1685,-342
1687,-339
1688,-341
1690,-340
1692,-341
1693,-340
1695,-340
1697,-341
1698,-340
1700,-343
1702,-342
1703,-345
1705,-342
1706,-345
1708,-342
1710,-338
1712,-333
1713,-338
1715,-339
1717,-338
1718,-339
1720,-341
1721,-339
1723,-345
1725,-340
1727,-338
1728,-338
1730,-336
1732,-337
1733,-336
1735,-335
1737,-337
1738,-337
1740,-339
1742,-337
1743,-336
1745,-336
1746,-338
1748,-343
1750,-343
1752,-344
1753,-347
1755,-354
1757,-344
1758,-341
1760,-334
1762,-335
1763,-332
1765,-335
1766,-340
1768,-340
1770,-338
1771,-338
1773,-338
1775,-338
1777,-336
1778,-340
1780,-343
1782,-344
1783,-340
1785,-339
1787,-338
1788,-337
1790,-336
1791,-334
1793,-345
1795,-340
1796,-336
1798,-339
1800,-338
1802,-343
1803,-341
1805,-340
1807,-338
1808,-337
1810,-339
1811,-337
1813,-338
1815,-341
1816,-339
1818,-340
1820,-333
1821,-333
1823,-334
1825,-335
1827,-336
1828,-337
1830,-341
1832,-338
1833,-340
1835,-344
1836,-346
1838,-343
1840,-347
1841,-341
1843,-345
1845,-339
1846,-338
1848,-340
1850,-339
1852,-338
1853,-335
1855,-336
1859,-338
1860,-340
1862,-337
1863,-337
1865,-336
1867,-339
1870,-340
1872,-344
1874,-342
1875,-338
1877,-336
1879,-337
1881,-343
1882,-343
1884,-345
1887,-337
1889,-335
1890,-337
1893,-340
1894,-343
1896,-342
1897,-342
1899,-342
1901,-341
1902,-340
1904,-337
1906,-336
1907,-336
1909,-343
1911,-344
1912,-339
1914,-341
1915,-345
1917,-340
1919,-337
1921,-338
1922,-339
1924,-339
1926,-335
1927,-333
1929,-334
1931,-336
1932,-335
1934,-336
1935,-338
1937,-340
1939,-335
1941,-335
1942,-337
1944,-341
1946,-339
1947,-339
1949,-338
1951,-342
1952,-340
1954,-335
1956,-336
1957,-336
1959,-338
1960,-339
1962,-340
1964,-339
1966,-338
1967,-338
1969,-337
1971,-337
1972,-338
1974,-338
1976,-337
1977,-332
1979,-333
1980,-337
1982,-344
1984,-345
1985,-342
1987,-341
1989,-343
1991,-344
1992,-342
1994,-338
1996,-340
1997,-338
1999,-336
2001,-337
2002,-338
2004,-336
2005,-342
2007,-340
2009,-341
2010,-338
2012,-339
2014,-338
2016,-338
2017,-341
2019,-343
2021,-344
2022,-342
2024,-343
2025,-342
2027,-339
2029,-338
2030,-340
2032,-341
2034,-340
2035,-337
2037,-337
2039,-336
2041,-340
