clock,value
1,0
2,0
3,720
4,738
5,738
6,738
7,750
8,750
9,750
10,750
11,750
12,750
13,750
14,750
15,798
16,798
17,736
18,736
19,718
20,718
21,766
22,766
23,766
24,766
25,766
26,766
27,766
28,766
29,766
30,766
31,766
32,766
33,704
34,722
35,722
36,722
37,722
38,734
39,734
40,734
41,734
42,734
43,734
44,734
45,782
46,782
47,782
48,720
49,720
50,720
51,720
52,720
53,720
54,720
55,702
56,702
57,702
58,702
59,702
60,702
61,702
62,750
63,750
64,750
65,750
66,750
67,750
68,750
69,750
70,702
71,702
72,702
73,720
74,782
75,734
76,734
77,734
78,734
79,734
80,722
81,722
82,704
83,704
84,704
85,766
86,766
87,766
88,766
89,766
90,766
91,766
92,766
93,766
94,718
95,718
96,718
97,718
98,706
99,736
100,798
101,750
102,750
103,750
104,750
105,750
106,750
107,738
108,720
109,720
110,720
111,782
112,782
113,782
114,782
115,782
116,734
117,734
118,734
119,752
120,752
121,814
122,814
123,766
124,766
125,766
126,766
127,766
128,766
129,766
130,766
131,766
132,766
133,766
134,766
135,766
136,766
137,766
138,766
139,766
140,766
141,766
142,766
143,766
144,766
145,766
146,766
147,766
148,766
149,766
150,754
151,754
152,754
153,754
154,754
155,754
156,754
157,766
158,766
159,766
160,766
161,766
162,766
163,766
164,766
165,766
166,766
167,766
168,766
169,766
170,766
171,766
172,766
173,766
174,766
175,766
176,766
177,766
178,766
179,766
180,766
181,766
182,766
183,766
184,766
185,766
186,766
187,766
188,766
189,766
190,766
191,766
192,766
193,754
194,754
195,798
196,798
197,798
198,798
199,786
200,768
201,857
202,782
203,814
204,766
205,798
206,857
207,814
208,878
209,894
210,880
211,898
212,974
213,946
214,1122
215,1166
216,1437
217,1389
218,1437
219,1401
220,1389
221,1527
222,1617
223,1707
224,1635
225,1905
226,1887
227,1707
228,1653
229,1671
230,1833
231,1635
232,1635
233,1689
234,1707
235,1659
236,1617
237,1707
238,1581
239,1653
240,1545
241,1878
242,1761
243,1767
244,1713
245,1617
246,1533
247,1437
248,1419
249,1389
250,1401
251,1294
252,1198
253,1102
254,974
255,958
256,942
257,910
258,846
259,846
260,800
261,862
262,798
263,857
264,878
265,894
266,862
267,862
268,862
269,850
270,862
